IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
59.166.0.6,36775,149.171.126.3,5190,6,0,1920,22,4312,24,27,27,27,0,0,0,31,32,1097,52,52,1097,1920,4312,644,5,1788,5,15360000,34496000,40,0,4,0,2,13032,13032,33792,132,0,0,0,0,0,Benign
59.166.0.4,19277,149.171.126.5,5190,6,0,1958,22,2308,24,27,27,27,0,0,0,31,32,485,52,52,485,1958,2308,663,5,786,5,15664000,18464000,42,0,4,0,0,13032,13032,38656,151,0,0,0,0,0,Benign
59.166.0.6,21592,149.171.126.9,22,6,92,3728,32,5474,24,27,27,27,0,0,0,31,32,900,52,52,900,3728,5474,1340,6,2421,6,29824000,43792000,42,4,4,6,0,14480,14480,15360,60,0,0,0,0,0,Benign
59.166.0.4,56097,149.171.126.3,5190,6,0,1920,22,4416,26,27,27,27,4294952,15,15,31,32,1097,52,52,1097,1920,4416,644,5,1788,5,960000,2208000,42,0,4,0,2,13032,13032,33792,132,0,0,0,0,0,Benign
59.166.0.2,60729,149.171.126.7,111,17,0,568,4,304,4,0,0,0,0,0,0,31,32,142,76,76,142,568,304,0,0,0,0,4544000,2432000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Benign
59.166.0.2,26442,149.171.126.7,13540,17,0,544,4,304,4,0,0,0,0,0,0,31,32,156,52,52,156,544,304,0,0,0,0,4352000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0,0,Benign
59.166.0.2,27609,149.171.126.7,26241,6,0,3936,18,2560,20,27,27,27,0,0,0,31,32,860,52,52,860,3936,2560,1808,6,1068,6,31488000,20480000,16,18,2,2,0,14480,14480,4096,16,0,0,0,0,0,Benign
59.166.0.3,25922,149.171.126.0,53,17,0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146,178,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,49383,1,60,0,0,Benign
59.166.0.3,57714,149.171.126.3,80,6,7,1684,14,10168,18,27,27,27,4294952,15,15,31,32,1500,52,52,1500,1684,10168,578,2,4820,4,840000,5080000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0,0,Benign
59.166.0.9,29265,149.171.126.7,27429,6,0,2230,34,13500,36,27,27,27,0,0,0,31,32,1352,52,52,1352,2230,13500,539,6,6330,10,17840000,108000000,60,0,2,0,8,20272,14480,6912,27,0,0,0,0,0,Benign
175.45.176.3,18740,149.171.126.14,80,6,7,796,10,4192,12,27,27,19,4294952,15,15,62,63,1500,40,40,1500,796,4192,222,1,1928,2,392000,2096000,16,2,2,0,2,16383,16383,56832,222,0,0,0,0,1,Exploits
59.166.0.9,31009,149.171.126.4,56423,6,0,4862,84,75600,86,27,27,27,0,0,0,31,32,1352,52,52,1352,4862,75600,555,6,37380,35,38896000,604800000,114,2,0,0,54,56472,14480,11008,43,0,0,0,0,0,Benign
59.166.0.1,29724,149.171.126.5,50261,6,0,2230,34,13500,36,27,27,27,0,0,0,31,32,1352,52,52,1352,2230,13500,539,6,6330,10,17840000,108000000,60,0,2,0,8,20272,14480,6912,27,0,0,0,0,0,Benign
59.166.0.1,50756,149.171.126.6,56960,6,0,4862,84,75600,86,27,27,27,4294952,15,15,31,32,1352,52,52,1352,4862,75600,555,6,37380,35,2424000,37800000,114,2,0,0,54,56472,14480,11008,43,0,0,0,0,0,Benign
59.166.0.0,33173,149.171.126.0,53,17,0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,65,81,130,162,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,9264,1,60,0,0,Benign
59.166.0.0,2096,149.171.126.3,21,6,1,2487,45,3500,50,25,25,25,0,0,0,31,32,106,52,52,106,2934,3742,563,9,1126,13,13736000,16336000,106,0,0,0,0,26064,20272,13056,51,0,0,0,0,0,Benign
59.166.0.0,47046,149.171.126.3,19732,6,0,320,6,1932,8,27,19,27,0,0,0,31,32,806,52,52,806,320,1932,0,0,806,1,2560000,15456000,12,0,0,2,0,7240,5792,0,0,0,0,0,0,0,Benign
59.166.0.0,50001,149.171.126.3,46893,6,0,424,8,8824,12,27,19,27,0,0,0,31,32,1500,52,52,1500,424,8824,0,0,4252,3,3392000,70592000,14,0,0,0,6,10136,5792,0,0,0,0,0,0,0,Benign
59.166.0.0,48868,149.171.126.3,34044,6,0,8928,14,320,6,27,27,19,0,0,0,31,32,1500,52,52,1500,8928,320,4252,3,0,0,71424000,2560000,14,0,0,0,6,5792,10136,39936,156,0,0,0,0,0,Benign
59.166.0.5,52442,149.171.126.5,5190,6,0,1958,22,2308,24,27,27,27,0,0,0,31,32,485,52,52,485,1958,2308,663,5,786,5,15664000,18464000,42,0,4,0,0,13032,13032,38656,151,0,0,0,0,0,Benign
59.166.0.6,3105,149.171.126.4,53,17,0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,65,81,130,162,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,43396,1,60,0,0,Benign
59.166.0.6,5229,149.171.126.3,143,6,4,7814,122,14990,126,27,27,27,0,0,0,31,32,1500,52,52,1500,7814,14990,2239,29,5827,31,62512000,119920000,222,18,4,2,2,50680,47784,48896,191,0,0,0,0,0,Benign
59.166.0.2,4536,149.171.126.0,50578,6,0,3806,64,54694,64,27,27,27,0,0,0,31,32,1352,52,52,1352,3806,54694,547,6,26979,25,30448000,437552000,88,0,0,0,40,41992,14480,8960,35,0,0,0,0,0,Benign
59.166.0.2,6133,149.171.126.1,4127,6,0,3614,60,45696,62,27,27,27,0,0,0,31,32,1352,52,52,1352,3614,45696,555,6,22428,23,28912000,365568000,86,0,0,6,30,39096,14480,11008,43,0,0,0,0,0,Benign
